question,true_dept,pred_dept,correct,confidence
има ли такса за справка от сметка месец назад,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.5552379048642646
при застраховка кредитна защита кога се изплаща на клиента при болничен,Пазар Банково застраховане,Пазар Банково застраховане,True,0.7603607123931604
може ли частично погасяване на кредит от друг клиент,Пазар Потребителско кредитиране,Пазар Потребителско кредитиране,True,0.4932205041683005
кой номер е коя сигнатура,Други,Други,True,0.6223087978972969
има ли отстъпки за клиенти с телк решение за месечни такси по разплащателната сметка,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.34198461731288504
как да се свържа с колега от отдел оспорване на картови разплащания,Други,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,False,0.2703319808247234
младежки пакет,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.5504672862437747
какво е максималното ltv при панел,Пазар Жилищни и ипотечни кредити,Пазар Жилищни и ипотечни кредити,True,0.40442259816632853
"моля, намери ми в портала на банка дск референия, която клиента да попълни за издаване на референция за заличена ипотека",Пазар Жилищни и ипотечни кредити,Пазар Жилищни и ипотечни кредити,True,0.2794117571726927
как се наема сейф?,ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,Support_Services,False,0.38663988489498374
какви документи подписва клиент при кандидатстване за потребителски кредит през приложението dsk mobile,Няколко пазара,Пазар Потребителско кредитиране,False,0.5456884914683516
необходим ли е акт за раждане за откриване на сметка със специална дебитна карта дск тийн ?,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.7803867177121574
какви инвестиционни продукти с гарантирана доходност предлага банка дск,Пазар Спестяване и инвестиции,Пазар Спестяване и инвестиции,True,0.6898494087715206
контакти при проблем с лос,Пазар Потребителско кредитиране,Пазар Ежедневно банкиране,False,0.16541137462151934
"когато се внесе по-голяма сума по главница на кредита и се подпише допълнително споразумение за намаляване на вноската, след какъв период вноската ще бъде по-малка",Пазар Жилищни и ипотечни кредити,Пазар Жилищни и ипотечни кредити,True,0.2729533205032006
а трябва ли да попълвам някакъв талон,Други,Други,True,0.630148182903356
беше добре това да го знаеш,Други,Други,True,0.6511587549918787
от кого трябва да се получи дебитна карта дск тийн,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.6567517801078296
колко дни се изпълнява валутният превод sepa?,Други,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,False,0.6749895461790065
какви са таксите за теглене на лева,Пазар Ежедневно банкиране,ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,False,0.5190213957036773
чуждестранен клиент,Други,Други,True,0.29456295589494913
може ли непълнолетно лице да ползва dsk mobile,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.7722768125879721
коя кк неможе да се излъчва по облекчената процедура,Пазар Разсрочени плащания,Пазар Разсрочени плащания,True,0.6295549872326205
как да получа виртуална карта,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.31684472307462397
"какъв е максималният брой възрастни лица над 18 години, които могат да се застраховат в семеен пакет по застраховка смисъл за теб?",Пазар Банково застраховане,Пазар Банково застраховане,True,0.6851096081002148
такси за жилищен 350000лв,Пазар Жилищни и ипотечни кредити,Пазар Жилищни и ипотечни кредити,True,0.5727417058014996
има ли такса вноска детски влог,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.5286079468988235
"dear ms. angelova, i am sorry, i was unable to take your call as i was on a plane. i am available to travel to bulgaria as early as next week at your convenience to finalize my guarantee opening request. i understand that drafting a guarantee takes several days. to avoid making two trips to bulgaria for the same matter, would it be possible for you to start preparing the guarantee in advance? this would allow me to handle this matter in a single trip. how many days do you need me in sofia to do the guarantee ? thank you for your assistance.",Други,Други,True,0.6822490111764279
какъв е максималният срок за издължаване по ипотечен кредит?,Пазар Жилищни и ипотечни кредити,Пазар Жилищни и ипотечни кредити,True,0.7802373124227656
какви документи са нужни за българи работещи в чужбина за ипотечен кредит ?,Пазар Жилищни и ипотечни кредити,Пазар Жилищни и ипотечни кредити,True,0.6813502803781306
условия по кредитна карта wizz air,Пазар Разсрочени плащания,Пазар Разсрочени плащания,True,0.8042265761539088
как да предложим инвестицини планове.,Пазар Спестяване и инвестиции,Пазар Спестяване и инвестиции,True,0.36683082887888036
за колко време се открива разплащателна сметка през dsk mobile,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.8732542946718996
моля основанието по нареден превод на стойност 2800 лв да бъде коригирано на. семейни ценности,Други,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,False,0.3120565021654612
необходими документи за жик,Пазар Жилищни и ипотечни кредити,Пазар Жилищни и ипотечни кредити,True,0.5546899572885108
как да продам смисъл за теб?,Пазар Банково застраховане,Пазар Спестяване и инвестиции,False,0.41493276177555655
какъв е размерът на осигурителната вноска за професионален пенсионен фонд при първа категория труд,Пазар Спестяване и инвестиции,Пазар Спестяване и инвестиции,True,0.6282004274627443
как се добавя карта в google/apple wallet за плащане на пос през телефон в приложението dsk mobile,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.5943869026596675
дск директ,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.4632135855890631
такса за проверка на документи на фирмен клиент чужденец,Пазар Малък бизнес,Пазар Малък бизнес,True,0.5835371885190125
може ли да се закрие запорирана сметка,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,Пазар Ежедневно банкиране,False,0.2710759119769188
а ако е в лева,Други,Други,True,0.5099585406639123
каква е таксата за вноска на каса на клиент с пакет премиум плюс?,Пазар Ежедневно банкиране,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,False,0.43679255382683163
