question_cleaned,department_target,message_uid,question_original,department_original,is_short_question
може ли клиент да използва само интернет банкирането dsk online?,Пазар Ежедневно банкиране,578489a5-9c57-4ded-88b7-faf591a73420,Може ли клиент да използва само интернет банкирането DSK Online?,Пазар Ежедневно банкиране,False
"въвеждам номер на лк и получавам грешка: полето е задължително. кое поле? 18:31 иван любомиров иванов над грешката има линк ""декларация за данъчни цели"". ако го натисна, излиза форма с личните ми данни, като само гражданството липсва. избирам го, но не мога да го запазя (""запази"" не прави нищо)",Други,825d43e2-ace6-4236-8e86-700821454232,"въвеждам номер на ЛК и получавам грешка: полето е задължително. Кое поле?

18:31 ИВАН ЛЮБОМИРОВ ИВАНОВ
над грешката има линк ""Декларация за данъчни цели"". Ако го натисна, излиза форма с личните ми данни, като само гражданството липсва. Избирам го, но не мога да го запазя (""Запази"" не прави нищо)",Други,False
служител светослав симов,Други,76bed0ff-1b7d-45f2-8d3d-5f5d9c3a7b3b,Служител Светослав Симов,Други,False
колко е еднократната такса,Други,333b5ef1-c3f2-40ff-81ec-2384515625fa,Колко е еднократната такса,Други,False
има ли такса за отриване на набирателна сметка за през онбординг процес ?,Пазар Малък бизнес,598cbfde-8362-433f-b03e-13cc65eb9d01,Има ли такса за отриване на набирателна сметка за през онбординг процес ?,Пазар Малък бизнес,False
какво включва план за пенсия,Пазар Ежедневно банкиране,cd2b58bd-00a2-4ba1-9253-8e61d04630b7,какво включва план за пенсия,Пазар Ежедневно банкиране,False
до колко време се обработват преводите rings,Пазар Ежедневно банкиране,3de2bda3-e74c-4603-9129-697b273bc4f1,До колко време се обработват преводите  rings,Пазар Ежедневно банкиране,False
номер за контакт на клона батемберф софия за клиенти,Други,fba9b154-cf2d-41bb-964f-3543a99f5440,номер за контакт на клона Батемберф софия за клиенти,Други,False
през дск мобайл може ли да се блокират картите от титуляра им?,Пазар Ежедневно банкиране,b1cf7bcf-c0a2-46e1-909c-27db08d6bd9c,През ДСК МОБАЙЛ може ли да се блокират картите от титуляра им?,Пазар Ежедневно банкиране,False
какви съобщения са получили клиентите през месец март за промени в оу,Други,f0b1c809-30c5-49b4-a99a-509e98b47a68,Какви съобщения са получили клиентите през месец март за промени в оу,Други,False
колко струва превод към бюджета нареден от фирмена сметка,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,73aaad70-2197-4ebe-8ec3-a31cefd003fd,колко струва превод към бюджета нареден от фирмена сметка,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,False
